,,А1,А1,А1,А1,Б1,Б1,Б1,Б1,В1,В1,В1,В1,Г1,Г1,Г1,Г1,Ґ1,Ґ1,Ґ1,Ґ1,Д1,Д1,Д1,Д1,Е1,Е1,Е1,Е1,Є1,Є1,Є1,Є1,Ж1,Ж1,Ж1,Ж1,З1,З1,З1,З1,И1,И1,И1,И1,І1,І1,І1,І1,Ї1,Ї1,Ї1,Ї1,Й1,Й1,Й1,Й1,К1,К1,К1,Л1,Л1,Л1,Л1,Фінал,Фінал,Фінал,Фінал
2. Кіно,"50. Коли Нео ще не було звільнено з матриці, одна з героїнь називає його словом “coppertop” - “рудий”. Таке прізвисько походить від метафори одного з героїв, у якій фігурує ЦЕЙ ПРЕДМЕТ. 

Відповідь: батарейка
Коментар: людей, які є заручниками матриці, Морфеус порівнює з батарейками, бо вони є джерелом енергії для машин. Дизайн батарейок часто передбачає помаранчеве забарвлення на тій ділянці, де розташований “плюс”. 
Джерело: https://forfun.com/ru/QjG4",1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,
3. Польська опера,"10. Серед менш відомих опер Станіслава Монюшко – «Сплавник лісу» та «Чарівна вода», а заголовна героїня його опери «Галька», яку зрадив коханий, наприкінці РОБИТЬ ЦЕ.
Відповідь: Топиться
Коментар: Багато води у творчості) А ще у Монюшка є чудова пісня «Золота рибка». «Гальку» вважають першою польською національною оперою, тож нею і розпочинаємо тему.
Джерело: https://uk.wikipedia.org/wiki/Станіслав_Монюшко
https://en.wikipedia.org/wiki/Halka",1,,,,,,1,,,,1,,1,,,,,1,,,,1,,,,,,,1,,,,1,,,-1,,,1,,,1,,,1,,,,,1,,,,1,,,1,,,-1,,,,,,1,
3. Польська опера,"20. У відповіді два слова. Оперному композитору Юзефу Ельснеру, який народився у 1769 році, Шопен присвятив сонату, а ось ЙОГО для Ельснера у 1854 році написав інший композитор, Добжинський.
Відповідь: Траурний марш
Залік: Поховальний марш
Не залік: реквієм
Коментар: Ельснер прожив довге життя і помер у 1854 році. Він був достатньо плідним композитором, хоча більшість його опер були не надто успішними. Шопен та Добжинський – його учні. До речі, Ельснер розпочинав кар’єру головним диригентом Львівської опери.
Джерело: https://uk.wikipedia.org/wiki/Ельснер_Юзеф",-1,-1,,1,,,1,,1,,,,,1,,,,,1,,1,,,,1,,,,,,-1,,,-1,,,-1,-1,,,-1,,1,,,,,1,,,,1,,1,,,,-1,,-1,,,,,,,1
3. Польська опера,"30. Оперу Шимановського «Гаґіта» порівнюють із «Саломеєю» за відомою п’єсою. Опера зазнала цькування з боку консервативних та клерикальних кіл через ЦЕ автора.
Відповідь: гомосексуальність
Залік: сексуальна орієнтація
Коментар: Чудовий польський композитор Кароль Шимановський був відкритим геєм, що у Польщі в міжвоєнні роки було достатньо сміливим кроком. Оперу “Саломея” Ріхард Штраус написав за п’єсою Оскара Вайльда.
Джерело: https://en.wikipedia.org/wiki/Hagith_(opera)",,,1,,,,,1,,,,,-1,,1,,,,1,,1,,,,,-1,,,,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,1,
3. Польська опера,"40. [Роздатковий матеріал:
https://drive.google.com/file/d/1qjohOYY1qmSsFq4XHmEEjCGxLF5xlMY-/view?usp=sharing 
]
 
У відповіді – 9-літерне слово. Перед вами – кадр з постановки ЦІЄЇ опери Кшиштофа Меєра за однойменним твором співвітчизника.
Відповідь: Кіберіада
Коментар: Оперу створено за циклом Лема.
Джерело: https://en.wikipedia.org/wiki/Cyberiada_(opera)",,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
3. Польська опера,"50. У найвідомішій опері Пендерецького, яка базується на реальному процесі початку XVII століття, ЦЕ черниці зображено через сміх, стогін та електронне викривлення голосу співачки.
Відповідь: одержимість дияволом
Залік: за згадкою одержимістю демонами, екзорцизму тощо за змістом.
Коментар: опера «Диявол з Лудена» заснована на документальній книзі Олдоса Гакслі і присвячена реальному процесу у Франції початку XVII століття, який розпочався через масову істерію черниць, нібито одержимих дияволом.
Джерело: https://en.wikipedia.org/wiki/The_Devils_of_Loudun_(opera)",,-1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4. Осінні квіти,"10. Коли перші жоржини привезли з Нового Світу, з ними намагалися РОБИТИ ЦЕ, але європейцям не сподобалося, а от самі гарні квіти привернули увагу короля Іспанії.
Відповідь: Їсти бульби
Залік: Їсти коріння, їсти як коренеплоди, їсти
Коментар: Жоржини сприйняли як картоплю, тим паче, що індіанці справді вживали їх у їжу.
Джерело: https://uk.wikipedia.org/wiki/Жоржина",,1,,,,,1,,,,1,,1,,,,,,,1,,1,,,,,,,,,,-1,,,,1,,,1,,1,,,,1,,,,,1,,,,1,,,,,,1,,,,,,,1
4. Осінні квіти,"20. У відповіді два слова. Чорнобривці використовують у різних осінніх святах: в Індії – під час Дівалі, а в іншій частині світу – під час НЬОГО.
Відповідь: День мертвих
Коментар: У Мексиці яскравою квіткою прикрашають могили та навіть називають її “Flor de Muerto” – “Квіти мертвих” – і вважають, що вони приваблюють душі мертвих. Ви це можете пам’ятати з мультфільму «Коко».
Джерело: https://ru.wikipedia.org/wiki/Бархатцы",,,,1,1,,,,,-1,,,-1,,,,,1,,-1,,-1,,1,1,,,,,,,-1,,,,,,,,,,1,,,-1,,1,,,,,,,,,,,1,,,,,,,,,1
4. Осінні квіти,"30. [Роздатковий матеріал:
https://drive.google.com/file/d/1pV-ML9ceXgSV0vNLcqQFVNXqWDbsRL9D/view?usp=sharing 

]
 
В англійській назві рудбекії згадується Сьюзен та ВОНИ. Мало хто з росіян знає, що насправді твір про НИХ написав Гребінка і присвятив майбутній дружині.
Відповідь: Чорні очі
Коментар: Чорні середини квітів нагадали англомовним поселенцям у Новому світі очі дівчини, тому квітку почали називати «Блек-айд Сьюзен». Відомий «циганський народний» російськомовний романс насправді написали українець Євген Гребінка та німець Флоріан Герман.
Джерело: https://en.wikipedia.org/wiki/Rudbeckia
https://uk.wikipedia.org/wiki/Очи_чёрные_(пісня)",,1,,,,,,,1,,,,,,1,,,,1,-1,1,,,,1,,,,,,,,1,,,,,,,,,,-1,1,,,1,,,1,,,,,,,,,,,1,,,,,1,
4. Осінні квіти,"40. У відповіді – слово з мови галібі. На, так би мовити, історичній батьківщині через здатність приваблювати ЇХ цинії висаджують між інших культур як допоміжну рослину.
Відповідь: колібрі
Коментар: цинії, або майорці, походять із Нового Світу. Маленькі пташки не тільки запилюють рослини, але й допомагають боротися з паразитами, наприклад, попелицею.
Джерело: https://en.wikipedia.org/wiki/Zinnia
https://www.tenews.org.ua/post/show/1629040817-cikave-pro-kviti--mayori#
https://lexicography.online/etymology/vasmer/%D0%BA/%D0%BA%D0%BE%D0%BB%D0%B8%D0%B1%D1%80%D0%B8",,-1,,,,,,,,,,,,-1,,,,,,,,,,,-1,,-1,,-1,,,,,,,,,,,,-1,,,,,1,,,,,,,,,,,1,,,-1,,,,,1,,
4. Осінні квіти,"50. У ЙОГО вірші «Айстри» квіти бачать, що навколо тюрма, та помирають, не дочекавшись сонця. Можна порівняти з долею ЙОГО сина, що загинув у Заксенгаузені.
Відповідь: Олександр Олесь
Коментар: Вірш Олеся було написано ще 1905 року, і Микола Лисенко написав романс на ці слова. Сина Олеся, поета й діяча ОУН Олега Ольжича було закатовано у концтаборі у 1944 році.
Джерело: https://uk.wikipedia.org/wiki/Олег_Ольжич
https://www.ukrlib.com.ua/books/printit.php?tid=829",,,,-1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,1,,,,,,,,1,,,,,,1,,1,,,,-1,,
5. Написи,"10. Дослідження академії “Брендвотч” продемонстрували, що часті помилки у написах, які роблять працівники ЦІЄЇ КОМПАНІЇ, є свідомою маркетинговою політикою.
Відповідь: “Старбакс”
Коментар: працівники кав’ярень часто записують ім’я замовника на стаканчику з помилкою. Як наслідок, клієнти часто роблять пости в соціальних мережах, демонструючі написи, і підвищують частоту згадок про “Старбакс”.
Джерело: https://flowwws.com/%E2%80%8Bнавіщо-starbucks-тролить-своїх-клієнтів-і-не
Автор: Євген Шляхов (Дніпро)",,,1,,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,1,,,,1,,,,1,,,,,1,,,,,1,,,,1,,,1,,,,1,,,1,,,,1,,
5. Написи,"20. Середньовічні алхіміки іноді розшифровували ЦЕЙ НАПИС, як “вогнем природа оновлюється вся”, вказуючи на здатність природи до відродження.
Відповідь: INRI
Коментар: Igne Natura Renovatur Integra
Джерело: https://uk.wikipedia.org/wiki/INRI
Автор: Євген Шляхов (Дніпро)",,1,,,,,1,,1,,,,1,,,,,,,-1,1,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,
5. Написи,"30. [Роздатковий матеріал скидається в чат: ILLUMINATION ] 
На початку відомого мультфільму один із багатьох заголовних героїв спостерігає, як частина напису з назвою студію анімації “Ілюмінейшен” зникає і залишаються лише ЦІ ШІСТЬ ЛІТЕР.
Відповідь: MINION
Коментар: Мультфільм “Посіпаки: становлення лиходія” в оригіналі “Minions: The Rise of Gru”.
Джерело: мультфільм “Посіпаки: становлення лиходія”
Автор: Євген Шляхов (Дніпро)",,,1,,,,1,,,1,,,1,,,,1,,,,,,1,,,,,,,,1,-1,1,,,,,,,1,,,1,,1,,,,,,,,,1,,,,,-1,,1,,,,,,1
5. Написи,"40. Одним із найцікавіших зразків рунічного письма, знайдених на території сучасної України, є напис на камені з ЦЬОГО ОСТРОВА. Назва острова, ймовірно, походить від скіфського слова “високий” і з деревами не пов’язана.
Відповідь: Березань
Коментар: березаньский камінь, імовірно, був встановлений варягами з Ґотланду, які мандрували шляхом із варягів у греки. Назва острова походить від слова іранського походження “березант”, а не від беріз.
Джерело: https://uk.wikipedia.org/wiki/Березань_(острів), https://uk.wikipedia.org/wiki/Березанський_рунічний_камінь
Автор: Євген Шляхов (Дніпро)",,,,1,1,,,,,1,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,-1,,1,-1,,,,,,,,-1,,,,,,,,,,,,,,,
5. Написи,"50. На початку епізоду серіалу  “Лейтенант Коломбо” демонструють предмет, на сидінні якого НАПИСАНО ЦЕ. У кінці фільму Коломбо дізнається про прихований сенс використання ЦЬОГО вбивцею, громадянином Мейсоном.
Відповідь: rosebud
Залік: трояндовий бутон
Коментар: У фільмі “Громадянин Кейн” важливу роль відіграють санчата з написом “Rosebud”. У серіалі “Коломбо” вбивця натренував собак нападати на людину, що дає команду “Rosebud”. 
Джерело: Лейтенант Коломбо, сезон 7, серія 4
Автор: Марія Шляхова (Дніпро)",1,,,,,,1,-1,,1,,,,,-1,,,,,,1,,,,1,,,,,,-1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,-1
6. Прийоми їжі,"10. Один із класичних атракціонів “Диснейленду” виглядає як карусель, на якій сидіння у вигляді чашок із блюдцями обертаються навколо власної осі й одне навколо одного. Назва атракціону збігається з ЦІЄЮ НАЗВОЮ сьомого РОЗДІЛУ.
Відповідь: божевільне чаювання
Коментар: “Божевільне чаювання” - сьомий розділ “Аліси в Дивокраї”.
Джерело: https://uk.wikisla.ru/wiki/Mad_Tea_Party
Автор: Євген Шляхов (Дніпро)",1,,,,,1,,,1,,,,,1,,-1,-1,,1,,,,1,,,,1,,,,,1,,,,1,,1,,,-1,-1,,,1,,,,,,1,-1,,,-1,1,-1,,1,,1,,,,1,,
6. Прийоми їжі,"20. Назва статті, в якій гірськолижниця Федеріка Бріньоне поділилася подробицями власного раціону, збігається з назвою ЦЬОГО РОМАНУ 1973 року.
Відповідь: “Сніданок чемпіонів”
Залік: “Сніданок чемпіонів, або Прощавай чорний понеділку!”, “Breakfast of Champions, or Goodbye Blue Monday”
Джерело: https://www.technogym.com/ro/newsroom/breakfast-federica-brignone/, https://uk.wikipedia.org/wiki/Сніданок_чемпіонів
Автор: Євген Шляхов (Дніпро)",1,,,,1,,,,,,,-1,,-1,1,,,,1,,,1,,,1,-1,,,,,1,,,,,,,,,,,,,,-1,,,,,,,1,,,,,,,,,1,,,,,1,
6. Прийоми їжі,"30. Деніз Вінтерман стверджує, що поховальний дзвін по культурі сімейної вечері прозвучав у другій половині двадцятого століття, коли на ринку з’явилася ВОНА.
Відповідь: мікрохвильова піч
Коментар: кожному члену родини стало зручніше розігріти собі їжу окремо у зручний час.
Джерело: https://www.bbc.com/ukrainian/entertainment/2012/11/121117_meals_three_times_dt
Автор: Марія Шляхова (Дніпро)",-1,,,,,1,,,,,,1,,,-1,,,,,,,,,,,,1,,1,,,,1,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,1
6. Прийоми їжі,"40. Сюжет Артема Шевченка оповідає, як улітку 2015 року бійці батальйону “Дніпро-1” фактично відтворили епізод з відомого роману дев’ятнадцятого століття. Село Піски журналіст порівнює саме з НЕЮ.
Відповідь: [фортеця] Ля-Рошель
Коментар: мається на увазі сніданок мушкетерів під кулями на одному з бастіонів Ля-Рошелі.
Джерело: https://www.depo.ua/ukr/life/biytsi-ato-povtorili-podvig-mushketeriv-video--25072015124800
Автор: Євген Шляхов (Дніпро)",,1,-1,,,1,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,1,,,,1,-1,1,,,,,,,,,,,,1,,,,1,,,,,-1,,,1,,,,,1
6. Прийоми їжі,"50. ЦЕ можна побачити на надгробку Ґустава Поповича в словацькому містечку Вишній Славков. Перебуваючи на заробітках, Ґустав надіслав ЦЕ дружині, але просив не хвилюватись. 
Відповідь: [фотографія] “Обід на хмарочосі”
Залік: “Ланч на хмарочосі”, “Lunch atop a Skyscraper”
Коментар: Попович їздив на заробітки до Нью-Йорка, працював на будівництві Рокфеллерського центру і став одним із працівників, зображених на відомому фото. 
Джерело: https://en.wikipedia.org/wiki/Lunch_atop_a_Skyscraper
Автор: Євген Шляхов (Дніпро)",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
7. Помилки,"10. Після того, як у 1968 році виявилось, що на поштовій марці під назвою «Уся країна ‒ червона», ВІН залишився незафарбованим, влада країни наказала знищити весь наклад.
Відповідь: Тайвань
Коментар: На марці була зображена зокрема мапа Китаю. За словами оформлювачів, на Тайвань просто не вистачило фарби. Але хтозна. Останнім часом питання зазіхань Китаю на незалежність Тайваню знов загострилося.
Джерело: https://en.wikipedia.org/wiki/The_Whole_Country_is_Red",,1,,,,,,1,,,-1,,,1,,,,1,,,,-1,,1,,1,,,,,1,,1,-1,,,,,,1,1,,,,-1,,,,,-1,,,,-1,,,1,-1,-1,,1,,,,-1,1,
7. Помилки,"20. «Помилка ЙОГО» ‒ це фільм, знятий на Кіностудії Довженка, в одній зі сцен якого друг заголовного героя ВіктОр відмовляє того від поїздки на територію сучасної України. Назвіть ЙОГО.
Відповідь: Оноре де Бальзак
Коментар: цей друг ‒ ВіктОр Гюґо, який сумнівається в доцільності шлюбу колеги-письменника з Евеліною Ганською, що мешкає неподалік Бердичева, тож намагається відмовити Бальзака. Як знаємо, безуспішно. Логічно, що фільм про зв’язок французького письменника із Україною в радянський час довірили саме Кіностудії Довженка.
Джерело: https://uk.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BC%D0%B8%D0%BB%D0%BA%D0%B0_%D0%9E%D0%BD%D0%BE%D1%80%D0%B5_%D0%B4%D0%B5_%D0%91%D0%B0%D0%BB%D1%8C%D0%B7%D0%B0%D0%BA%D0%B0",,,,1,1,,,,,,,,,,1,,,,,-1,,-1,,,,-1,,,,,,-1,,,,,,,,,,,,,,,,,,,,-1,1,,-1,-1,,,1,,-1,,,,,,1
7. Помилки,"30. В автобіографії, що вийшла в 2020 році, Сід детально розповів, чому помилка, через яку ВІН нібито перетворювався на одержимого ядерною зброєю диктатора, – не більш як міська легенда. 
Відповідь: [Магатма] Ґанді
Коментар: існує легенда, що в коді серії ігор «Цивілізація» є баґ, через який офіційно найбільш миролюбний правитель у грі може перетворитися на ядерного терориста. Ця легенда стала настільки популярною серед гравців, що в останніх версіях гри навіть з’являлися «великодки», що відсилали до неї.
Джерело: https://en.wikipedia.org/wiki/Nuclear_Gandhi",1,,,,,1,,,,,,1,,1,,,,1,,,,1,,,,1,,,1,,,,,,1,,,,1,,,1,,,,,,,,1,,,,,,,,1,,1,,,,,,,1
7. Помилки,"40. У відповіді два слова. Героїня американського серіалу робить багато помилок у контрольній, тому отримує оцінку «D». Мати, втішаючи її, також по-своєму помиляється, коли каже, що «D» ‒ це не ВІН.
Відповідь: кінець світу
Коментар: англійською ця фраза звучить як «""D"" is not the end of the world», що, звісно, не зовсім правда. Твердження про те, що щось ‒ не кінець світу, доволі поширений спосіб утішання.
Джерело: «Gilmore girls», сезон 1, епізод 4.",,-1,,,,,-1,,,,,,,,,,,,,,,,1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Помилки,"50. На спільній меморіальній дошці літературного будинку «Слово» ЦИХ ДВОХ розділяють Микита Шумило, Іван Шутов, Самійло Щупак, Володимир Юрезанський та Леонід Юхвід.
Відповідь: Юліан Шпол, Михайло Яловий
Коментар: люди, які створювали цю дошку, із незнання присвятили одразу два написи одній людині: «Юліан Шпол» ‒ це псевдонім Михайла Ялового, знаного представника «розстріляного відродження».
Джерела:
1. https://uk.wikipedia.org/wiki/%D0%AF%D0%BB%D0%BE%D0%B2%D0%B8%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE_%D0%9E%D0%BC%D0%B5%D0%BB%D1%8F%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
2. https://commons.wikimedia.org/wiki/File:%D0%96%D0%B8%D1%82%D0%BB%D0%BE%D0%B2%D0%B8%D0%B9-%D0%B1%D1%83%D0%B4%D0%B8%D0%BD%D0%BE%D0%BA-%C2%AB%D0%A1%D0%BB%D0%BE%D0%B2%D0%BE%C2%BB,_%D0%BC%D0%B5%D0%BC%D0%BE%D1%80%D1%96%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0_%D0%B4%D0%BE%D1%88%D0%BA%D0%B0.jpg",,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Не тільки назви українських телешоу,"10. Цими ДВОМА КОРОТКИМИ СЛОВАМИ називається інтим-бутик в Івано-Франківську, що пропонує за допомогою своєї продукції урізноманітнити стосунки, порушуючи звичні заборони.
Відповідь: Без табу
Коментар: заборона ‒ табу. Було таке ток-шоу з Ольгою Герасим’юк. Хоча, зважаючи на теперішній місяць, була спокуса написати запитання і просто про «Табу» :)
Джерело: https://list.in.ua/%D0%86%D0%BD%D1%82%D0%B8%D0%BC-%D0%B1%D1%83%D1%82%D1%96%D0%BA%D0%B8/137206/%D0%91%D0%B5%D0%B7-%D1%82%D0%B0%D0%B1%D1%83-%D0%86%D0%B2%D0%B0%D0%BD%D0%BE-%D0%A4%D1%80%D0%B0%D0%BD%D0%BA%D1%96%D0%B2%D1%81%D1%8C%D0%BA",1,,,,-1,1,-1,,,,,1,,1,,,,1,,,,,,1,1,-1,-1,,,,,1,,1,,,-1,1,,,,,,,1,,,,,,,-1,,1,,,,,1,,1,,,,,,1
