,,"Ліга А, червоний","Ліга А, червоний","Ліга А, червоний","Ліга А, червоний","Ліга А, жовтий","Ліга А, жовтий","Ліга А, жовтий","Ліга А, жовтий","Ліга А, зелений","Ліга А, зелений","Ліга А, зелений","Ліга А, зелений","Ліга А, синій","Ліга А, синій","Ліга А, синій","Ліга А, синій","Ліга Б, червоний","Ліга Б, червоний","Ліга Б, червоний","Ліга Б, червоний","Ліга Б, жовтий","Ліга Б, жовтий","Ліга Б, жовтий","Ліга Б, жовтий","Ліга Б, зелений","Ліга Б, зелений","Ліга Б, зелений","Ліга Б, зелений","Ліга Б, синій","Ліга Б, синій","Ліга Б, синій","Ліга Б, синій","Ліга В1, червоний","Ліга В1, червоний","Ліга В1, червоний","Ліга В1, червоний","Ліга В1, жовтий","Ліга В1, жовтий","Ліга В1, жовтий","Ліга В1, жовтий","Ліга В1, зелений","Ліга В1, зелений","Ліга В1, зелений","Ліга В1, зелений","Ліга В1, синій","Ліга В1, синій","Ліга В1, синій","Ліга В1, синій","Ліга В1, помаранчевий","Ліга В1, помаранчевий","Ліга В1, помаранчевий","Ліга В2, червоний","Ліга В2, червоний","Ліга В2, червоний","Ліга В2, червоний","Ліга В2, жовтий","Ліга В2, жовтий","Ліга В2, жовтий","Ліга В2, жовтий","Ліга В2, зелений","Ліга В2, зелений","Ліга В2, зелений","Ліга В2, зелений","Ліга В2, синій","Ліга В2, синій","Ліга В2, синій","Ліга В2, синій","Ліга В2, помаранчевий","Ліга В2, помаранчевий","Ліга В2, помаранчевий","Ліга В3, червоний","Ліга В3, червоний","Ліга В3, червоний","Ліга В3, червоний","Ліга В3, жовтий","Ліга В3, жовтий","Ліга В3, жовтий","Ліга В3, жовтий","Ліга В3, зелений","Ліга В3, зелений","Ліга В3, зелений","Ліга В3, зелений","Ліга В3, синій","Ліга В3, синій","Ліга В3, синій","Ліга В3, синій","Ліга В4, червоний","Ліга В4, червоний","Ліга В4, червоний","Ліга В4, червоний","Ліга В4, жовтий","Ліга В4, жовтий","Ліга В4, жовтий","Ліга В4, жовтий","Ліга В4, зелений","Ліга В4, зелений","Ліга В4, зелений","Ліга В4, зелений","Ліга В4, синій","Ліга В4, синій","Ліга В4, синій","Ліга В4, синій"
2. М.С.,"30. У Бургосі можна придбати сувенірні репліки ЙОГО. ВІН, що зберігається у соборі міста, найімовірніше, є справжнім, бо основна частина була викувана у ХІ столітті, хоча руків'я ХVI століття робить ЙОГО розбалансованим.
Відповідь: Меч Сіда
Коментар: Тісона, меч легендарного іспанського героя Ель Сіда Кампеадора, зараз зберігається у його рідному місті.
Джерело: https://ru.wikipedia.org/wiki/Тисона",,,1,,1,,,,,,,1,,1,,,,,,1,1,,,,,-1,,,,,,1,,,,,,,,,,,1,,,,,,-1,,,,,1,,,,1,,1,,,,,,,,,,1,,,1,,,,,1,-1,,1,,,1,,,,,,1,,,,,,,1,,,,,
2. М.С.,"40. ЙОГО «Автопортрет» починається так, ніби він вітає фюрера.
Відповідь: Михайль Семенко
Коментар: Головний український футурист, автор різних «Поезомалярств». Його «Автопортрет» виглядає так:
Хайль семе нкоми
Ихайль кохайль альсе комих
Ихай месен михсе охай
Мх йль кмс мнк мих мих
Семенко енко нко михайль
Семенко мих михайльсе менко
О семенко михайль!
О михайль семенко!
Джерело: https://sites.google.com/view/mykhailsemenko/%D1%82%D0%B2%D0%BE%D1%80%D1%87%D1%96%D1%81%D1%82%D1%8C",,,1,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. М.С.,"50. На полотні Чиньяролі зображено вже ЙОГО, на відміну від картини Давіда на той самий сюжет, де спокійний та мужній герой ще повчає оточуючих та простягає руку за келихом.
Відповідь: Мертвий Сократ
Коментар: Кілька художників створювало картини на сюжет смерті Сократа. Якщо у раннього італійського класициста Чиньяролі учні оплакують вже мертвого філософа, то на полотні Давіда, яке вважають справжнім шедевром, акцент робиться на постаті ще живого головного героя, що бере келих з цикутою.
Джерело: https://ru.wikipedia.org/wiki/Смерть_Сократа
https://uk.wikipedia.org/wiki/Смерть_Сократа",,,,,,1,,,,,1,,,,,1,,-1,,,-1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
3. Миші,"10. У 2018 до 90-річчя ВОНА отримала власну зірку - зокрема, «за вплив на моду».
Відповідь: Мінні Маус
Коментар: Зірку, звичайно, на Голлівудській алеї слави.  
Джерело: https://ru.wikipedia.org/wiki/Минни_Маус",,,1,,,,,1,,,1,,,,,1,,1,,,1,,,,,,1,,1,,,,1,,,,1,,,,,,1,,,,1,,1,,,,1,,,1,,,,1,,,,,,1,,,,1,1,,,,,1,,,,,,1,1,,,,,,,1,1,,,,,1,,-1,,1,,
3. Миші,"20. [Роздатковий матеріал:
A3305, A3326, A3352, A3356, A3400
]
Перед вами – офіційні імена мишей, одна з яких загинула у дорозі. Інші були згодом вбиті та препаровані, але вони стали першими мишами, яким вдалося ЗРОБИТИ ЦЕЙ КРОК.
Відповідь: Побувати на Місяці
Залік: побувати на Місяці з місією Аполлон.
Коментар: Це – офіційні імена мишей, які побували на Місяці з місією Аполо-17. Астронавти дали їм інші прізвиська – Фе, Фі, Фо, Фам та Фуї. Форма запитання натякала на відому фразу Армстронга.
Джерело: https://en.wikipedia.org/wiki/Fe,_Fi,_Fo,_Fum,_and_Phooey",1,-1,-1,,1,,,,1,,,-1,,,,1,,,1,,,,,1,,1,,,,,,1,,1,,,1,,,,,1,,,,1,-1,,,,1,1,,,,-1,,1,,,,,,,,,1,,1,-1,,,,1,,,,1,,,,-1,,,1,,,,,,,,1,,1,,,,,1,-1,
3. Миші,"30. ЙОГО картина, де мишеня Джері зображене на тлі класичного пейзажу, вперше з’явилася на тій самій виставці, що і портрет королеви у вигляді шимпанзе. Слово «пошкоджене» є вже у самій назві твору.   
Відповідь: Бенксі
Коментар: Картина має назву «Пошкоджене масло – Джері».
Джерело: https://en.wikipedia.org/wiki/Corrupted_Oil_Jerry
https://en.wikipedia.org/wiki/Turf_War_(Banksy)",,,,1,,,1,,,-1,,,,,,1,,,1,,,,,,,,,,,,,,,1,-1,,,,,,,1,,,,,1,,,,1,,,,1,,,,,,,,,,,,-1,,,,,,,,1,,,,,,,,,-1,1,,1,,,,,,,1,,,1,,,,,
3. Миші,"40. За однією з версій, прототипи ЇХ – це протестантські єпископи, яких катували за часів Кривавої Мері. Твір про НИХ інколи виконують невдоволені фанати на хокеї.
Відповідь: Три сліпі миші
Коментар: Дуже популярна в англомовних країнах пісенька про трьох сліпих мишей доволі давня. ЇЇ ймовірним джерелом були жорстокі страти періоду релігійної ворожнечі, хоча ця версія досить сумнівна і згаданих єпископів, зокрема, не осліплювали, а всього лише спалили. У хокеї зазвичай три судді, і, якщо фанатам не подобається їхня робота, вони пісенькою можуть натякнути, що ті «сліпі».
Джерело: https://en.wikipedia.org/wiki/Three_Blind_Mice
https://ru.wikipedia.org/wiki/Три_слепых_мышки
",,,1,,,,,,1,,,,,1,,,,,1,,,1,,,,1,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,
3. Миші,"50. У відповіді – два слова, що починаються з тієї самої літери. У плавчині, чиє прізвисько перекладається з угорської як «миша», інше прізвисько – ВОНА, бо дівчина царювала у басейні. ВОНА – фільм 1933 року.
Відповідь: Королева Крістіна
Коментар: Йдеться про Крістіну Егерсегі – одну з найвидатніших плавчинь в історії. Угорка 5 разів здобувала золото Олімпійських ігор. ЇЇ прізвисько «Егер» - «миша» - це й скорочення від її прізвища, а також натякає на її маленький зріст. «Королева Крістіна» - відомий фільм з Гретою Гарбо.
Джерело: https://en.wikipedia.org/wiki/Krisztina_Egerszegi",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,
4. Снігова тема,"10. У 1511 році внаслідок надзвичайно холодної зими в західноєвропейському місті побудували більше ста скульптур, багато з яких відображали скатологічний гумор. Зокрема, там був сніговий ВІН, а змерзлий струмочок потрапляв прямо до рота сніговику-пияці.
Відповідь: Хлопчик, що дзюрить
Залік: Хлопчик, що пісяє; Ма́ннекен Піс; Пісяючий хлопчик, Хлопчик-дзюркунчик
Коментар: Місто – це Брюссель. Сніговий хлопчик дзюрчав крижаним струмочком.
Джерело: https://en.wikipedia.org/wiki/The_Miracle_of_1511",1,,,,,1,,,,,,1,,1,,,,-1,,1,,,1,,,,1,,,1,,,,,1,,,,,,,,1,,,,,1,,1,,,,1,,,1,,,,1,,,,,,1,,,1,1,,,,,1,,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,1
4. Снігова тема,"20. Використання пестицидів для боротьби з пискухами та байбаками на Тибетському нагір’ї завдало великої шкоди ЇМ.
Відповідь: Сніговим барсам
Залік: барсам, ірбісам
Коментар: Пискухи та байбаки були легкою здобиччю для великих снігових котиків, а пестициди, по-перше, завдавали шкоди здоров’ю самих барсів, а по-друге, зменшення кількості здобичі теж погано вплинуло на популяцію ірбісів. 
Джерело: https://ru.wikipedia.org/wiki/Ирбис",1,,,,,-1,,1,,1,,,,,1,,,,,1,,,1,-1,,,,1,,1,,,,1,,,,,1,,1,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,1,,,,1,,1,,,,1,,,,,1,,,,1,,,,1,,,,,1,
4. Снігова тема,"30. Фестиваль снігових фігур у ЦЬОМУ ВЕЛИКОМУ МІСТІ розпочався з дитячого свята у парку ОдОрі, а всесвітню популярність і статус міжнародного отримав після 1972 року.
Відповідь: Саппоро
Коментар: Культурне явище у другому «найсніжнішому» місті світу стало відоме у світі після зимової олімпіади у Саппоро.
Джерело: https://ru.wikipedia.org/wiki/Снежный_фестиваль_(Саппоро)",,,,1,1,,,,,,,1,,,,1,,,,,,1,,,,1,,,,,,1,,1,,,1,,,,,1,,,,,,1,1,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,1,,-1,,,,1,,,,-1,,-1,1,,1,,,
4. Снігова тема,"40. Ервін, що у Відні виготовляв хірургічні прилади та намагався розробити щось на кшталт дуже яскравої хірургічної лампи, згодом отримав патент на НЕЇ й відкрив крамничку.
Відповідь: Снігова куля
Залік: Куля зі снігом, кулька зі снігом.
Коментар: Ервін Перці для фокусування пропустив світло крізь колбу з водою, де плавали різні частки. Ефект нагадав йому снігопад. Так народилася ідея створення кульок зі снігом.
Джерело: https://en.wikipedia.org/wiki/Snow_globe",,,,1,,1,,,,,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,
4. Снігова тема,"50. Однією з проблем використання снігоходів є забруднення, тому, зокрема, у Квебеку законодавчо закріплене обмеження на снігоходи, яке становить 78… чого?
Відповідь: Децибел
Коментар: Забруднення буває ще й звукове. Снігоходи не тільки забруднюють повітря, але й дуже гучні, тому у Канаді мали прийняти відповідні обмеження.
Джерело: https://en.wikipedia.org/wiki/Snowmobile#Noise",,,,,,,,1,,,,,,,1,,1,,,,,,,-1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,
5. Українці Канади,"10. Докторка наук Роберта Бондар у 1992 році стала першою канадкою ТАМ. Згодом жінка також захопилася дайвінгом та фотографуванням краєвидів нашої планети.
Відповідь: У космосі
Залік: на орбіті
Коментар: Роберта, перша канадська астронавтка, має докторські ступені у кількох галузях, а у космічній місії вивчала вплив гравітації на організм, що згодом дозволило НАСА підготувати астронавтів до тривалих подорожей.
Джерело: https://en.wikipedia.org/wiki/Roberta_Bondar",,,,1,,,,1,,,1,-1,,,,1,,,1,,,,,1,,1,-1,,,,1,-1,,,1,,1,,,,1,,,,,,,1,1,,,,,,1,,,1,,1,,,,,,-1,,,1,,,,-1,-1,,,1,,1,,,,,1,,,,,1,,,,1,,,,1,,,,1,
5. Українці Канади,"20. Хоча Богдан Весоловський емігрував до Канади, а не до іншої країни Західної Півкулі, головне місце в його творчому доробку посідає своєрідне українське ВОНО. Ансамбль Весоловського у передвоєнному Львові грав на балах та вечірках.
Відповідь: Танго
Коментар: Богдан Весоловський хотів створити українську розважальну музику, яка б конкурувала з польською, і під прізвиськом Бонді грав в ансамблі Леоніда Яблонського «Ябцьо-джаз», а також писав для бенду. Після поразки Січових стрільців композитор емігрував спочатку до Відня, а потім до Канади, а не до батьківщини танго Аргентини. У Канаді були випущені платівки з його піснями. Після гри ведучий дасть вам посилання на ютуб-запис танго Весоловського з концерту, у якому брала участь редакторка пакету ☺
Джерело: https://uk.wikipedia.org/wiki/Весоловський_Богдан_Остапович",,1,,,1,,,,,,1,,1,,,,1,-1,,,,,,,,,1,,1,,,,1,,,,,,1,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,1,,,1,,,1,,,,,,,1,,1,,,,,,1
5. Українці Канади,"30. Едвард Дмитрик знімав успішні нуари та антифашистське кіно, але у 1947 році потрапив ТУДИ та мав емігрувати до Великобританії, де зняв, зокрема, фільм про каменярів.
Відповідь: До чорного списку Голлівуду
Залік: До Голлівудської десятки; також за змістом – «до лав голівудських кінематографістів, яких звинуватили у зв’язку з комуністам».
Коментар: У розпал маккартизму режисер, що деякий час був у Комуністичній партії та симпатизував пролетаріату, був під загрозою арешту і втік до Англії. Згодом його паспорт закінчився, і режисер повернувся до США, де одразу був заарештований. Після деякого часу за гратами Дмитрик вирішив, що комуністи його «покинули», дав свідчення і відмовився від комуністичного минулого. Після звільнення й повернення в Голівуд на Дмитрика очікував остракізм з боку колег, однак йому вдалося зняти успішні картини, зокрема «Заколот на «Кейні», що отримав 7 номінацій на «Оскар».
Джерело: https://en.wikipedia.org/wiki/Edward_Dmytryk",,,,1,,,1,,,,,,,,,,,,,1,,,,1,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,-1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
5. Українці Канади,"40. У відповіді – слово з чотирма однаковими голосними. Мітчел Хартвел, відомий як Ерік, також здобув багато нагород у різних номінаціях, хоча починав працювати «для власного задоволення». Ерік полюбляє імпровізацію та працює здебільшого у жанрі НЬОГО.
Відповідь: Гонзо-порно.
Коментар: Порноактор, режисер та фотограф Ерік Еверхард – також українського походження.
Джерело: https://uk.wikipedia.org/wiki/Ерік_Еверхард",,-1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Українці Канади,"50. [Роздатковий матеріал:]
У відповіді одне коротке слово. Хокейний воротар Турк Брода мав суперечку з володарем клубу, яка привернула увагу преси до подробиць життя Броди. Напередодні гри була публічна процедура, і воротар суперечку виграв, хоча потім зізнався, що ВОНИ мали в будь-якому випадку спрацювати на користь Броди.
Відповідь: Ваги
Коментар: Турк Брода – видатний хокейний воротар українського походження, володар «Везіна трофі», який кілька сезонів вигравав Кубок Стенлі з Торонто Мейпл Лівз. Як бачите, він був досить кремезним і вирізнявся гарним апетитом, тому володар клуба хотів його змусити скинути вагу. Протягом деякого часу преса публікувала подробиці дієти Турка. Було публічне зважування, яке продемонструвало, що Брода схуднув, хоча, схоже, це був рекламний трюк.
Джерело: https://en.wikipedia.org/wiki/Turk_Broda
https://interestingcanadianhistory.wordpress.com/2014/08/14/walter-turk-broda/",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,1,,,,,,,,,1,,,,,,,,
6. Не тільки романи ХХ століття,"10. У першому триместрі вагітності ВОНА часто з'являється у жінок через високу концентрацію гормону ХГЛ, що посилає сигнали до мозку і до шлунку.
Відповідь: Нудота
Коментар: Роман Сартра. А також один з проявів токсикозу вагітних.
Джерело: https://doc.ua/ua/news/articles/toksikoz-pri-beremennosti-kak-oblegchit
https://www.szmc.org.il/rus/departments/birth-at-sz/the-pregnancy/nausea/
",1,,,,,,,1,1,,,,,,,1,,,,1,,,1,,,,,1,,,,1,1,,,,,,,,1,,,,,,,1,,,,,,,1,,1,,,1,,,,,1,,,,,,,,,1,,,1,,,1,,,,,,1,,1,,,,,1,,1,,,,,,,1
6. Не тільки романи ХХ століття,"20. У відповіді коротке слово. Найбільш відомий та великий ВІН у Норвезькому морі на картах був позначений як «жахлива Харибда» та фігурує у творах Жуля Верна та Едгара По.
Відповідь: Вир
Коментар: Мається на увазі Москстраумен, або Мальстрем. Вир – незавершений magnum opus Григорія Тютюнника.
Джерело: https://uk.wikipedia.org/wiki/Москстраумен
https://uk.wikipedia.org/wiki/Вир_(роман)
",,,,1,,,,-1,1,,,,,1,,,,,,,,,1,,,,,-1,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,-1,,-1,,,,,,,,-1,,,,-1,-1,,,,1,,,,,,,,,,,,,,-1,,,,,,-1,,,1
